Word,POS,NER,Sentence
message,NN,O,1
"""",'',O,2
E-statement,NNP,O,2
of,IN,O,2
your,PRP$,O,2
Axis,NNP,CBNK,2
Bank,NNP,CBNK,2
Credit,NNP,O,2
Card,NNP,O,2
no,UH,O,2
.,.,O,2
XX3946,NNP,CNUM,2
has,VBZ,O,2
been,VBN,O,2
generated,VBN,O,2
.,.,O,2
Total,NNP,O,2
Amount,NNP,O,2
Due,NNP,O,2
INR,NNP,CDUE,2
Dr,NNP,CDUE,2
.,.,CDUE,2
9101.66,CD,CDUE,2
",",",",O,2
Minimum,NNP,O,2
Amount,NNP,O,2
Due,NNP,O,2
INR,NNP,MDUE,2
Dr,NNP,MDUE,2
.,.,MDUE,2
456,CD,MDUE,2
",",",",O,2
Due,IN,O,2
date,NN,O,2
02,CD,BDD,2
-,HYPH,BDD,2
DEC,NNP,BDD,2
-,HYPH,BDD,2
23,CD,BDD,2
.,.,O,2
Click,VB,O,2
https,NN,O,2
:,:,O,2
/,SYM,O,2
/,SYM,O,2
cc.axisbank.co.in,NNP,O,2
/,SYM,O,2
nLGVw-oxA,NNP,O,2
to,TO,O,2
view,VB,O,2
/,SYM,O,2
download,NN,O,2
.,.,O,2
"""",'',O,2
Your,PRP$,O,3
Axis,NNP,CBNK,3
Bank,NNP,CBNK,3
Credit,NNP,O,3
Card,NNP,O,3
XX4939,NN,CNUM,3
statement,NN,O,3
of,IN,O,3
INR,NNP,CDUE,3
27926,CD,CDUE,3
with,IN,O,3
due,JJ,O,3
date,NN,O,3
02,CD,BDD,3
-,HYPH,BDD,3
Dec,NNP,BDD,3
-,HYPH,BDD,3
23,NNP,BDD,3
is,VBZ,O,3
generated,VBN,O,3
.,.,O,3
Click,VB,O,3
here,RB,O,3
axisbank.com,ADD,O,3
/,SYM,O,3
ccpaynow,VBP,O,3
to,TO,O,3
view,VB,O,3
the,DT,O,3
transaction,NN,O,3
details,NNS,O,3
.,.,O,3
Min,NNP,O,3
Amt,NNP,O,3
due,JJ,O,3
INR,NNP,MDUE,3
1397,CD,MDUE,3
.,.,O,3
Statement,NNP,O,4
for,IN,O,4
your,PRP$,O,4
Axis,NNP,CBNK,4
Bank,NNP,CBNK,4
Credit,NNP,O,4
Card,NNP,O,4
XX4234,NNP,CNUM,4
due,IN,O,4
on,IN,O,4
01,CD,BDD,4
-,HYPH,BDD,4
02,CD,BDD,4
-,SYM,BDD,4
24,CD,BDD,4
for,IN,O,4
INR,NNP,CDUE,4
3340.71,CD,CDUE,4
is,VBZ,O,4
ready,JJ,O,4
.,.,O,4
View,VB,O,4
details,NNS,O,4
@,IN,O,4
axisbank.com,ADD,O,4
/,SYM,O,4
ccpaynow,NN,O,4
;,:,O,4
Min,NNP,O,4
amt,VBN,O,4
due,JJ,O,4
is,VBZ,O,4
INR,NNP,MDUE,4
1899,CD,MDUE,4
.,.,O,4
"""",'',O,5
E-statement,NN,O,5
of,IN,O,5
your,PRP$,O,5
Axis,NNP,CBNK,5
Bank,NNP,CBNK,5
Credit,NNP,O,5
Card,NNP,O,5
no,UH,O,5
.,.,O,5
XX3946,NNP,CNUM,5
has,VBZ,O,5
been,VBN,O,5
generated,VBN,O,5
.,.,O,5
Total,NNP,O,5
Amount,NNP,O,5
Due,NNP,O,5
INR,NNP,CDUE,5
0,CD,CDUE,5
",",",",O,5
Minimum,NNP,O,5
Amount,NNP,O,5
Due,NNP,O,5
INR,NNP,MDUE,5
0,CD,MDUE,5
",",",",O,5
Due,IN,O,5
date,NN,O,5
04,CD,BDD,5
-,HYPH,BDD,5
MAR,NNP,BDD,5
-,HYPH,BDD,5
24,CD,BDD,5
.,.,O,5
Click,VB,O,5
https,NN,O,5
:,:,O,5
/,SYM,O,5
/,SYM,O,5
cc.axisbank.co.in,NN,O,5
/,SYM,O,5
p37Wg-Xt,NNP,O,5
to,TO,O,5
view,VB,O,5
/,SYM,O,5
download,NN,O,5
.,.,O,5
"""",'',O,5
"""",``,O,6
E-statement,NN,O,6
of,IN,O,6
your,PRP$,O,6
Axis,NNP,CBNK,6
Bank,NNP,CBNK,6
Credit,NNP,O,6
Card,NNP,O,6
no,UH,O,6
.,.,O,6
XX4668,NN,CNUM,6
has,VBZ,O,6
been,VBN,O,6
generated,VBN,O,6
.,.,O,6
Total,NNP,O,6
Amount,NNP,O,6
Due,NNP,O,6
INR,NNP,CDUE,6
Cr,NNP,CDUE,6
.,.,CDUE,6
28346.48,CD,CDUE,6
",",",",O,6
Minimum,NNP,O,6
Amount,NNP,O,6
Due,NNP,O,6
INR,NNP,MDUE,6
0,CD,MDUE,6
",",",",O,6
Due,IN,O,6
date,NN,O,6
04,CD,BDD,6
-,HYPH,BDD,6
JAN,NNP,BDD,6
-,HYPH,BDD,6
24,CD,BDD,6
.,.,O,6
Click,VB,O,6
https,NN,O,6
:,:,O,6
/,SYM,O,6
/,SYM,O,6
cc.axisbank.co.in,NN,O,6
/,SYM,O,6
oOXQD-cYl,NNP,O,6
to,TO,O,6
view,VB,O,6
/,SYM,O,6
download,NN,O,6
.,.,O,6
"""",'',O,6
"""",``,O,7
E-Statement,NN,O,7
of,IN,O,7
your,PRP$,O,7
Axis,NNP,CBNK,7
Bank,NNP,CBNK,7
Credit,NNP,O,7
Card,NNP,O,7
no,UH,O,7
.,.,O,7
XX7854,NNP,CNUM,7
has,VBZ,O,7
been,VBN,O,7
generated,VBN,O,7
.,.,O,7
Total,JJ,O,7
amount,NN,O,7
due,JJ,O,7
:,:,O,7
INR,NNP,CDUE,7
Dr,NNP,CDUE,7
.,.,CDUE,7
75030.34,CD,CDUE,7
.,.,O,7
Minimum,JJ,O,7
amt,NN,O,7
due,JJ,O,7
:,:,O,7
INR,NNP,MDUE,7
Dr,NNP,MDUE,7
.,.,MDUE,7
1501.00,CD,MDUE,7
",",",",O,7
Due,IN,O,7
date,NN,O,7
:,:,O,7
07,CD,BDD,7
-,SYM,BDD,7
06,CD,BDD,7
-,SYM,BDD,7
24,CD,BDD,7
.,.,O,7
Visit,VB,O,7
https,NN,O,7
:,:,O,7
/,SYM,O,7
/,SYM,O,7
ccm.axbk.in,NNP,O,7
/,SYM,O,7
s,NNP,O,7
/,SYM,O,7
KOrHOUly,NNP,O,7
to,TO,O,7
view,VB,O,7
/,SYM,O,7
download,NN,O,7
.,.,O,7
"""",'',O,7
"""",``,O,8
E-stmt,NNP,O,8
for,IN,O,8
your,PRP$,O,8
SBI,NNP,CBNK,8
Card,NNP,O,8
ending,VBG,O,8
with,IN,O,8
XX92,NNP,CNUM,8
dated,VBN,O,8
03,CD,BDD,8
/,SYM,BDD,8
09,CD,BDD,8
/,SYM,BDD,8
2023,CD,BDD,8
has,VBZ,O,8
been,VBN,O,8
sent,VBN,O,8
to,IN,O,8
your,PRP$,O,8
registered,VBN,O,8
email,NN,O,8
ID,NNP,O,8
.,.,O,8
Total,JJ,O,8
Amt,NNP,O,8
Due,NN,O,8
:,:,O,8
Rs,NNS,CDUE,8
16974,CD,CDUE,8
",",",",O,8
Min,NNP,O,8
Amt,NNP,O,8
Due,NN,O,8
:,:,O,8
Rs,NNS,MDUE,8
4211,CD,MDUE,8
is,VBZ,O,8
payable,JJ,O,8
by,IN,O,8
23,CD,BDD,8
/,SYM,BDD,8
09,CD,BDD,8
/,SYM,BDD,8
2023,CD,BDD,8
.,.,O,8
SMS,NNP,O,8
ENRS,NNP,O,8
to,IN,O,8
5676791,CD,O,8
if,IN,O,8
not,RB,O,8
received,VBN,O,8
within,IN,O,8
24,CD,O,8
-,SYM,O,8
48,CD,O,8
hrs,NN,O,8
.,.,O,8
Click,VB,O,8
https,NN,O,8
:,:,O,8
/,SYM,O,8
/,SYM,O,8
sbicard.com,ADD,O,8
/,HYPH,O,8
quickpaynet,NN,O,8
to,TO,O,8
pay,VB,O,8
your,PRP$,O,8
SBI,NNP,CBNK,8
Credit,NNP,O,8
Card,NNP,O,8
bill,NN,O,8
.,.,O,8
"""",'',O,8
"""",``,O,9
E-statement,NN,O,9
of,IN,O,9
SBI,NNP,CBNK,9
Credit,NNP,O,9
Card,NNP,O,9
ending,VBG,O,9
XX96,NNP,CNUM,9
dated,VBD,O,9
19,CD,BGD,9
/,SYM,BGD,9
01,CD,BGD,9
/,SYM,BGD,9
2024,CD,BGD,9
has,VBZ,O,9
been,VBN,O,9
mailed,VBN,O,9
.,.,O,9
If,IN,O,9
not,RB,O,9
received,VBN,O,9
",",",",O,9
SMS,NNP,O,9
ENRS,NNP,O,9
to,IN,O,9
5676791,CD,O,9
.,.,O,9
Total,JJ,O,9
Amt,NNP,O,9
Due,NNP,O,9
Rs,NN,CDUE,9
34436,CD,CDUE,9
;,:,O,9
Min,NNP,O,9
Amt,NNP,O,9
Due,NNP,O,9
Rs,NN,MDUE,9
2875,CD,MDUE,9
;,:,O,9
Payable,JJ,O,9
by,IN,O,9
08,CD,BDD,9
/,SYM,BDD,9
02,CD,BDD,9
/,SYM,BDD,9
2024,CD,BDD,9
.,.,O,9
Click,VB,O,9
https,NN,O,9
:,:,O,9
/,SYM,O,9
/,SYM,O,9
sbicard.com,ADD,O,9
/,HYPH,O,9
quickpaynet,NN,O,9
to,TO,O,9
pay,VB,O,9
your,PRP$,O,9
bill,NN,O,9
"""",'',O,9
"""",``,O,10
Dear,NNP,O,10
SBI,NNP,CBNK,10
Cardholder,NNP,O,10
",",",",O,10
outstanding,JJ,O,10
of,IN,O,10
Rs,NNS,CDUE,10
.,.,CDUE,10
3100.00,CD,CDUE,10
",",",",O,10
on,IN,O,10
your,PRP$,O,10
credit,NN,O,10
card,NN,O,10
ending,VBG,O,10
7712,CD,CNUM,10
is,VBZ,O,10
due,JJ,O,10
on,IN,O,10
12,CD,BDD,10
-,HYPH,BDD,10
FEB,NNP,BDD,10
-,HYPH,BDD,10
24,CD,BDD,10
.,.,O,10
Min,NNP,O,10
.,.,O,10
Amount,NN,O,10
Due,JJ,O,10
:,:,O,10
Rs,NNS,MDUE,10
.,.,MDUE,10
200.00,CD,MDUE,10
.,.,O,10
Please,UH,O,10
ignore,VB,O,10
if,IN,O,10
already,RB,O,10
paid,VBN,O,10
.,.,O,10
Click,VB,O,10
